lemma_võro,lemma_estonian,lemma_finnish,lemma_english,lemma_saami,lemma_norwegian,lemma_swedish,lemma_german,pos,semtype
,,askel,step,ceahkki,trinn,trin,trinn_DEU,N,SCHOOL
,,aste,grade,gráda,grad,grad,grad_DEU,N,AMOUNT
,,astma,asthma,ástmá,astma,astma_SWE,astma_DEU,N,ILLNESS
,,astua,astua_ENG,čákŋalit,smyge seg under,smyge seg under_SWE,smyge seg under_DEU,V,BODY_V
,,asua,asua_ENG,dálostallat,drive gårdsbruk,drive gårdsbruk_SWE,drive gårdsbruk_DEU,V,WORK_ECONOMY_V
,,asua,live,orrut,bo,bo,wohnen,V,HUM_V
,,asuinalue,asuinalue_ENG,ássanguovlu,boligområde,bostadsområde,boligområde_DEU,N,PLACE_STAYING
,,asuinpaikka,asuinpaikka_ENG,ássansadji,bosted,bosted_SWE,bosted_DEU,N,PLACE_OTHER
,,asuinpaikka,flat,orrunsadji,bolig,bostad,bolig_DEU,N,PLACE_STAYING
,,asukas,citizen,ássi,innbygger,invånare,innbygger_DEU,N,ACTOR
,,asumaton alue,asumaton alue_ENG,meahcci,utmark,vildmark,utmark_DEU,N,NATURE_PLACE
,,aterioida,eat,boradit,ha måltid,äta i lugn och ro,essen,V,FOOD_DRINK_V
,,aueta,open,rahpasit,åpne seg,åpne seg_SWE,åpne seg_DEU,V,EXPOSURE_V
,,aukaista,open,leahkastit,åpne,åpne_SWE,åpne_DEU,V,YYY
,,aurinkopulla,aurinkopulla_ENG,beaivvášláibbáš,solbolle,solbulle,solbolle_DEU,N,FOOD_GROCERY
,,autokauppa,autokauppa_ENG,biilagávpi,bilforretning,bilförsäljare,bilforretning_DEU,N,SHOP
,,autonavain,car key,biilačoavdda,bilnøkkel,bilnyckel,bilnøkkel_DEU,N,THING
,,avata,open,rahpat,åpne,öppna,öffnen,V,CHRISTMAS
,,aviomies,husbond,isit,ektemann,äkta man,Ehemann,N,FAMILY
,,avopuoliso,spouse,ovttasorru,samboer,sambo,samboer_DEU,N,FAMILY
,,bensa,gasoline,bensiidna,bensin,bensin,bensin_DEU,N,TRAVEL
,,diakuva,dia,čuovgagovva,lysbilde,diabild,lysbilde_DEU,N,THING
,,diskoteekki,discotheque,diskotehka,diskotek,diskotek,diskotek_DEU,N,CITY
,,edellinen viikko,edellinen viikko_ENG,mannan vahkku,forrige uke,forrige uke_SWE,forrige uke_DEU,Mwe,EXPRESSIONS
,,edellisenä yönä,edellisenä yönä_ENG,ovddit ija,forrige natt,forrige natt_SWE,forrige natt_DEU,Mwe,EXPRESSIONS
,,edessä,edessä_ENG,ovddas,i veien,i veien_SWE,i veien_DEU,Adv,YYY
,,edustaja,representative,áirras,representant,representant,representant_DEU,N,OTHERS
,,ehtiä,have time,astat,ha tid,ha tid,Zeit haben,V,AUX_V
,,ei ollenkaan,ei ollenkaan_ENG,ollege,i det hele tatt,i det hele tatt_SWE,i det hele tatt_DEU,Adv,YYY
,,ei-saamelainen nainen,non-Sámi woman,rivgu,ikke-samisk kvinne,icke-samisk kvinna,nicht-samische Frau,N,OTHERS
,,eikö niin,eikö niin_ENG,amma nu,ikke sant,ikke sant_SWE,ikke sant_DEU,Mwe,EXPRESSIONS
,,eikö niin,eikö niin_ENG,iigo nu,ikke sant,ikke sant_SWE,ikke sant_DEU,Mwe,EXPRESSIONS
,,eilen,eilen_ENG,ikte,i går,i går,i går_DEU,Adv,CHRISTMAS
,,elinkeino,elinkeino_ENG,ealáhus,næring,næring_SWE,næring_DEU,N,JOB
,,eloansa,expressive,ealus,uttrykksfull,uttrycksfull,uttrykksfull_DEU,A,HUM_A
,,elvyttää,revitalize,ealáskahttit,revitalisere,revitalisere_SWE,revitalisere_DEU,V,ACTION_V
,,eläinlääkäri,veterinarian,šibitdoavttir,dyrlege,djurläkare,dyrlege_DEU,N,PROFESSION
,,eläinpito,eläinpito_ENG,šibitdoallu,husdyrhold,boskapsdrift,husdyrhold_DEU,N,JOB
,,elämänkatsomus,elämänkatsomus_ENG,eallinoaidnu,livssyn,livsåskådning,livssyn_DEU,N,SCHOOL
,,elättää,provide for,ealihit,forsørge,hålla vid liv,am Leben erhalten,V,ACTION_V
,,enemmän,enemmän_ENG,eambbo,mer,mer_SWE,mer_DEU,Adv,DIV_ADV
,,enemmän,enemmän_ENG,eanet,mer,mer,mer_DEU,Adv,CHRISTMAS
,,englanti,English language,eŋgelasgiella,engelsk språk,engelska,engelsk språk_DEU,N,LANGUAGE
,,enimmäkseen,enimmäkseen_ENG,eanáš,de fleste,de fleste_SWE,de fleste_DEU,Adv,DIV_ADV
,,enimmäkseen,most,eanemus,mest,mest,mest_DEU,Adv,CHRISTMAS
,,ennen vanhaa,ennen vanhaa_ENG,dološ áigge,før i tiden,før i tiden_SWE,før i tiden_DEU,Mwe,EXPRESSIONS
,,ennenvanhaan,ennenvanhaan_ENG,dolin,før i tiden,før i tiden_SWE,før i tiden_DEU,Adv,TIME_ADV
,,ensi kertaa,ensi kertaa_ENG,boahtte háve,neste gang,neste gang_SWE,neste gang_DEU,Mwe,EXPRESSIONS
,,ensi viilolla,ensi viilolla_ENG,boahtte vahkku,neste uke,neste uke_SWE,neste uke_DEU,Mwe,EXPRESSIONS
,,ensi vuonna,ensi vuonna_ENG,boahtte jagi,neste år,neste år_SWE,neste år_DEU,Mwe,EXPRESSIONS
,,ensikieli,first language,vuosttašgiella,førstespråk,förstespråk,førstespråk_DEU,N,LANGUAGEPART
,,ensiksi,ensiksi_ENG,vuosttažettiin,først og fremst,först och främst,først og fremst_DEU,Adv,DIV_ADV
,,ensimminen,first,vuosttaš,første,första,erster,A,CHRISTMAS
,,ensimmäinen,first,ovddemus,først,först,først_DEU,A,YYY
,,ensin nyt,ensin nyt_ENG,vuos dál,først nå,først nå_SWE,først nå_DEU,Mwe,EXPRESSIONS
,,entisiin verrattuna,entisiin verrattuna_ENG,ovddežiid ektui,i forhold til tidligere,i forhold til tidligere_SWE,i forhold til tidligere_DEU,Mwe,EXPRESSIONS
,,entä,entä_ENG,naba,enn,än,enn_DEU,Adv,DIV_ADV
,,enää,enää_ENG,šat,mer,mer,mer_DEU,Adv,TIME_ADV
,,epämiellyttävä,unpleasant,unohas,uhøvelig,opassande,uhøvelig_DEU,A,OBJECT_A
,,epävarma,epävarma_ENG,eahpesihkar,usikker,osäker,usikker_DEU,A,ISSUE_A
,,erityinen,special,erenoamáš,spesiell,speciell,spesiell_DEU,A,CHRISTMAS
,,erityistä,erityistä_ENG,erenoamážit,spesielt,spesielt_SWE,spesielt_DEU,Adv,CHRISTMAS
,,erota,divorce,earránit,skilles,skiljas,skilles_DEU,V,HUM_V
,,eräällä tavalla,in a way,ovtta láhkai,på en måte,på ett sätt,på en måte_DEU,Mwe,EXPRESSIONS
,,esikouluopettaja,esikouluopettaja_ENG,ovdaskuvlaoahpaheaddji,førskolelærer,förskollärare,førskolelærer_DEU,N,PROFESSION
,,esimies,chairman,ovdaolmmoš,formann,förman,formann_DEU,N,OTHERS
,,esine,thing,diŋga,ting,ting,ting_DEU,N,YYY
,,esittely,presentation,čájáhus,utstilling,utställning,utstilling_DEU,N,SHOW
,,espanjantauti,espanjantauti_ENG,spánskadávda,spanskesyken,spanskesyken_SWE,spanskesyken_DEU,N,ILLNESS
,,estää,prevent,caggat,forhindre,hejda,verhindern,V,ACTION_V
,,eteinen,eteinen_ENG,feaskkir,yttergang,farstu,yttergang_DEU,N,ROOM
,,etelä,warm area,bárbmu,varme strøk,varmt land,varme strøk_DEU,N,PLACE_OTHER
,,eteläsaame,South Sámi,lullisámegiella,sørsamisk språk,sydsamiska,Südsamisch,N,LANGUAGE
,,eteläsaame,South Sámi,máttasámegiella,sørsamisk språk,sydsamiska,Südsamisch,N,LANGUAGE
,,eteläsaamelainen,South Sami,lullisápmelaš,sørsame,sörsame,sørsame_DEU,N,OTHERS
,,etelässä,etelässä_ENG,lulde,sørpå,sydpå,sørpå_DEU,Adv,PLACE_ADV
,,etelään,etelään_ENG,lulás,sørover,söderut,sørover_DEU,Adv,PLACE_ADV
,,etu,etu_ENG,ovdu,fordel,fordel_SWE,fordel_DEU,N,ABSTRACT
,,etujalka,forefoot,ovdajuolgi,forbein,forbein_SWE,forbein_DEU,N,ANIMAL_OTHER
,,etukäteen,on beforehand,ovdagihtii,på forhånd,på förhand,på forhånd_DEU,Adv,CHRISTMAS
,,evakko,refugee,eváhkko,flyktning,evakuering_SWE,evakuering_DEU,N,ABSTRACT
,,eväsporo,eväsporo_ENG,niesteboazu,nisterein,slaktren för eget förbruk,nisterein_DEU,N,FOOD_OTHER
,,eväät,eväät_ENG,niesti,niste,nista,niste_DEU,N,FOOD_OTHER
,,fieru,fieru_ENG,fiervá,fjære,ebbe,fjære_DEU,N,NATURE_PLACE
,,fuskata,cheat,verrošit,jukse,fuska,mogeln,V,ACTION_V
,,haapana,haapana_ENG,snárttal,brunnakke,brunnakke_SWE,brunnakke_DEU,N,BIRD
,,haara poronkorvamerkistä,haara poronkorvamerkistä_ENG,guobir,klov,klov_SWE,klov_DEU,N,ANIMAL_OTHER
,,haaska,haaska_ENG,rábbi,åtsel,åtsel_SWE,åtsel_DEU,N,NATURE
,,haastaa,challenge,hástalit,utfordre,utmana,herausfordern,V,VERBAL_V
,,haista,stink,haksot,stinke,stinka,stinke_DEU,V,FOOD_DRINK_V
,,haitallinen,haitallinen_ENG,vahátlaš,skadelig,skadlig,skadelig_DEU,A,OBJECT_A
,,hakea nopeasti,hakea nopeasti_ENG,viežžalit,hente fort,hämta fort,hente fort_DEU,V,HUM_V
,,hakea,get,viežžat,hente,hämta,holen,V,ACTION_V
,,hakija,applicant,ohcci,søker,sökande,søker_DEU,N,ACTOR
,,hakkuupölkky,hakkuupölkky_ENG,smáhkkomuorra,hoggstabbe,huggstock,hoggstabbe_DEU,N,NATURE
,,hakuaika,hakuaika_ENG,ohcanáigi,søknadsfrist,inlämningsdag,søknadsfrist_DEU,N,TIME_OTHER
,,halkaista,halkaista_ENG,luddet,klyve,klyve_SWE,klyve_DEU,V,NATURE_V
,,halkoa,halkoa_ENG,luoddut,klyve,klyve_SWE,klyve_DEU,V,NATURE_V
,,hallinto,administration,hálddahus,administrasjon,administration,administrasjon_DEU,N,JOB
,,hallitus,government,ráđđehus,regjering,regering,regjering_DEU,N,ORGANIZATION
,,halonhakkuupaikka,halonhakkuupaikka_ENG,rántet,sted man hogger ved,plats där man hugger ved,sted man hogger ved_DEU,N,PLACE_LOCAL
,,halu,lust,hállu,lyst,lyst,lyst_DEU,N,FEELING
,,hammastikku,toothpick,solon,tannstikke,tannstikke_SWE,tannstikke_DEU,N,TOOL
,,hanki,hanki_ENG,cuoŋu,skare,skare,skare_DEU,N,NATURE
,,hankkia polttopuita,cut wood,murret,sage ved,hugga ved,Brennholz hacken,V,NATURE_V
,,hankkia,aquire,háhkat,skaffe,skaffe_SWE,skaffe_DEU,V,YYY
,,hankkia,hankkia_ENG,háŋket,skrape sammen,skrape sammen_SWE,skrape sammen_DEU,V,ACTION_V
,,hapan,sour,suvrris,sur,sur,sur_DEU,A,CHRISTMAS
,,hapsuttaa,fringe,riessat,frynse,fransa,fransen,V,WORK_ECONOMY_V
,,hapsuttaa,fringe,riessut,frynse,fransa,fransen,V,WORK_ECONOMY_V
,,harjoitteluhousut,harjoitteluhousut_ENG,hárjehallanbuvssat,treningsbukse,träningsbyxor,treningsbukse_DEU,N,CLOTHING_PL
,,harjoittelutakki,harjoittelutakki_ENG,hárjehallanjáhkka,treningsjakke,träningsjacka,treningsjakke_DEU,N,CLOTHING
,,harmaantua,koittaa_ENG,ránodit,lysne av dag,ljusna av dag,lysne av dag_DEU,V,WEATHER_V
,,hartia,hartia_ENG,hárdu,herd,ryggen mellom skulderbladene_SWE,ryggen mellom skulderbladene_DEU,N,BODYPART
,,harvoin,harvoin_ENG,hárve,sjelden,sällan,sjelden_DEU,Adv,TIME_ADV
,,haudata,bury,hávdádit,begrave,begrave_SWE,begrave_DEU,V,ACTION_V
,,haukahtaa,haukahtaa_ENG,cieládit,plutselig begynne å bjeffe,plutselig begynne å bjeffe_SWE,plutselig begynne å bjeffe_DEU,V,ANIMAL_V
,,haukkua,yell at,bealkit,skjenne,skälla ut,ausschimpfen,V,VERBAL_V
,,hauska,fun,somá,morsom,kul,morsom_DEU,A,OTHERS
,,hauska,funny,hávski,morsom,rolig,morsom_DEU,A,CHRISTMAS
,,havahtua,wake up,morihit,våkne,vakna,aufwachen,V,EXPERIENCE_V
,,he kaksi,they two,guovttos,de to,de to_SWE,de to_DEU,N,exclude_leksa
,,heikko,weak,láivi,svak,svag,svak_DEU,A,SOUP_A
,,heinätyö,heinätyö_ENG,ládju,slåttonn,slåtter,slåttonn_DEU,N,JOB
,,heitellä,throw out,suohpput,sette ut line,kasta flera gånger,mehrmals auswerfen,V,WORK_ECONOMY_V
,,heitto,throwing,bállahastin,kasting,kasting_SWE,kasting_DEU,N,SPORT
,,heittää suopunkia,lasso,njoarostit,kaste lasso,fånga med lasso,mit dem Lasso fangen,V,ANIMAL_V
,,helluntai,pentecost,hellodagat,pinse,pingst,pinse_DEU,N,TIME_POINT_GEN_PL
,,helluntaipäivä,helluntaipäivä_ENG,helloduorastat,kristihimmelfartsdag,Kristi himmelsfärds dag,kristihimmelfartsdag_DEU,N,TIME_POINT_GEN
,,helluntaipäivä,helluntaipäivä_ENG,heláduorastat,kristihimmelfartsdag,Kristi himmelsfärds dag,kristihimmelfartsdag_DEU,N,TIME_POINT_GEN
,,herkku,herkku_ENG,hersko,lekker mat,läcker mat,lekker mat_DEU,N,FOOD_OTHER
,,heti,heti_ENG,dalán,straks,genast,straks_DEU,Adv,TIME_ADV
,,hidastaa,hidastaa_ENG,njoahcudit,gjøre langsommere,gjøre langsommere_SWE,gjøre langsommere_DEU,V,ACTION_V
,,hieho,hieho_ENG,guigu,kvige,kviga,kvige_DEU,N,ANIMAL_DOM
,,hiekottaa,hiekottaa_ENG,boatkkuhit,strø,strö,strø_DEU,V,LEISURETIME_HOME_V
,,hieno,nice,fiinnis,fin,fin,fin_DEU,A,CHRISTMAS
,,hietikko,sand,sáttu,sand,sand,sand_DEU,N,NATURE
,,hiihdellä,go skiing,čuoiggadit,gå på ski,åka sidor,Ski laufen,V,NATURE_V
,,hiihdähtää,go skiing,čuoigalit,gå avgårde på ski,åka hastigt skidor,in Eile skifahren,V,exclude_smenob
,,hiihdättää,pursue on skis,čuoiggahit,forfølge på ski,förfölja på skidor,auf Skiern verfolgen,V,exclude_smenob
,,hiihtohousut,hiihtohousut_ENG,čuoiganbuvssat,skibukse,skidbyxor,skibukse_DEU,N,CLOTHING_PL
,,hiihtokilpailu,hiihtokilpailu_ENG,čuoigan,skirenn,skidkonkurrens,skirenn_DEU,N,SHOW
,,hiihtopäivä,hiihtopäivä_ENG,čuoiganbeaivi,skidag,skiddag,skidag_DEU,N,TIME_OTHER
,,hiihtäjä,skier,čuoigi,skiløper,skidåkare,skiløper_DEU,N,OTHERS
,,hiipiä,sneak,njáhkat,smyge seg,smyge seg_SWE,smyge seg_DEU,V,BODY_V
,,hiiva,yeast,jeasta,gjær,jäst,gjær_DEU,N,FOOD_GROCERY
,,hiljaa virtaava,hiljaa virtaava_ENG,doaččis,sakteflytende,långsamt rinnande,sakteflytende_DEU,A,NATURE_A
,,hiljainen,calm,jaskat,stille,tyst,stille_DEU,A,CHRISTMAS
,,hiljattain,hiljattain_ENG,gieskat,nylig,nylig_SWE,nylig_DEU,Adv,TIME_ADV
,,hiljetä,be quiet,jaskkodit,tie,tie_SWE,tie_DEU,V,HUM_V
,,hirsi,log,hirsa,tømmerstokk,tømmerstokk_SWE,tømmerstokk_DEU,N,HANDICRAFTS
,,hirvas,hirvas_ENG,sarvvis,reinsbukk,rensbock,reinsbukk_DEU,N,ANIMAL_WILD
,,hirveä,hirveä_ENG,hirbmat,svært,mycket,svært_DEU,Adv,DIV_ADV
,,hiusshampoo,hair shampoo,vuoktašámpu,hårsjampo,hårschampo,hårsjampo_DEU,N,YYY
,,hoitaa,care for,dikšut,pleie,sköta,pflegen,V,WORK_ECONOMY_V
,,hoitaja,nurse,dikšu,pleier,sköterska,pleier_DEU,N,PROFESSION
,,hopeavyö,hopeavyö_ENG,násteboagán,sølvbelte,silverbälte,sølvbelte_DEU,N,CLOTHING
,,houkutella,houkutella_ENG,geasuhit,tiltrekke,tiltrekke_SWE,tiltrekke_DEU,V,ABSTRACT
,,housuntasku,housuntasku_ENG,buksalumma,bukselomme,byxficka,bukselomme_DEU,N,CLOTHING_OTHER
,,huitaista,huitaista_ENG,fáippastit,vifte,vifte_SWE,vifte_DEU,V,BODY_V
,,hukkua,drown,heavvanit,drukne,drunkna,ertrinken,V,BODY_V
,,hullutella,fool around,dádjut,tøve,skoja,spaßen,V,mLAUGH
,,hulpa,hulpa_ENG,holbi,påsydd kant på koftekanten,koltkant,påsydd kant på koftekanten_DEU,N,CLOTHING_OTHER
,,huokailla,sigh,šuohkkit,sukke,sukke_SWE,sukke_DEU,V,VERBAL_V
